"a_specific","var_ratio","ratio_label","arm","seed","rec_shared","rec_specific","spec_acc","beta_tp_rate","beta_fp_rate","mean_abs_shared","mean_abs_specific","c_index","K_init","n_iter"
48,16,"4.0x","LB_cohort",1,0.398019449813124,0.963640203269321,0.833333333333333,1,0,0.207702863970172,8.603609208311e-09,0.50256937307297,20,106
48,16,"4.0x","YFB_base",2,0.76616180622044,0.964651180603751,1,1,0.5,0.164786742273255,0.0050498133506112,0.842078708375378,20,44
48,16,"4.0x","YFB_cohort",2,0.815840943433187,0.981062359915816,0.833333333333333,0.5,0.25,0.0195137547978713,0.00065252506300871,0.719475277497477,20,10
48,16,"4.0x","LB_base",2,0,0.37723323570041,0.666666666666667,0,0,0,1.30021845598429e-08,0.542885973763875,20,17
48,16,"4.0x","LB_cohort",2,0.848814877635998,0.97967200131219,1,1,0,1.16851788257654,3.48167661303596e-09,0.839556004036327,20,49
48,16,"4.0x","YFB_base",3,0.749115780013732,0.972957714549133,1,1,0.25,0.200221710335578,0.00141390307403885,0.742401594419532,20,77
48,16,"4.0x","YFB_cohort",3,0.813634891876623,0.964034744784346,1,1,0.25,0.216118459327311,0.00374855799915943,0.786746387643249,20,87
48,16,"4.0x","LB_base",3,0,0.452590363455135,0.666666666666667,0,0.25,0,0.0432918782370795,0.544095665171898,20,15
48,16,"4.0x","LB_cohort",3,0.360234366496861,0.726035042191231,0.833333333333333,0.5,0,4.71352771014711,1.18661309927487e-07,0.509715994020927,20,20
48,16,"4.0x","YFB_base",4,0.752704902675799,0.966950488475887,1,1,0.5,0.182613235629139,0.00596153937096287,0.811387900355872,20,42
48,16,"4.0x","YFB_cohort",4,0.799885534411709,0.97174127038347,1,1,0.5,0.170362473245269,0.00574824640837848,0.817488561260803,20,46
48,16,"4.0x","LB_base",4,0.718978766067774,0.971120180751439,0.833333333333333,1,0,2.01383697622384,9.56339555948301e-09,0.831215048296899,20,33
48,16,"4.0x","LB_cohort",4,0.239668000570548,0.980695281712302,1,0,0,6.28288323970276e-09,4.83255515393253e-09,0.59379766141332,20,117
48,16,"4.0x","YFB_base",5,0.799613224553107,0.947014313747418,1,1,0.25,0.202884649451165,0.00349633793624288,0.8145,20,31
48,16,"4.0x","YFB_cohort",5,0.840081004005424,0.909955237058071,1,1,0.25,0.207291974388426,0.00354865555900801,0.811,20,45
48,16,"4.0x","LB_base",5,0.775906008590777,0.968464650597487,1,1,0,1.77652551769538,1.98307365025112e-09,0.804,20,28
48,16,"4.0x","LB_cohort",5,0.839871164213197,0.976964590304528,1,1,0,1.4859195008021,1.43675105696494e-09,0.799,20,62
