"a_specific","var_ratio","ratio_label","arm","seed","rec_shared","rec_specific","spec_acc","beta_tp_rate","beta_fp_rate","mean_abs_shared","mean_abs_specific","c_index","n_iter"
36,9,"3.0x","LB_cohort",4,0,0,0.333333333333333,0,0,0,0,0.5,27
36,9,"3.0x","YFB_base",5,0.852798635455972,0.967366445225624,1,1,0.5,0.190297558257629,0.00482013351113764,0.8165,21
36,9,"3.0x","YFB_cohort",5,0.87993335009292,0.974393096174805,1,1,0.25,0.203658262140741,0.00345205073525116,0.8095,40
36,9,"3.0x","LB_base",5,0.827496010528572,0.963544332685766,1,1,0,1.67871931469509,1.34337076536626e-09,0.806,11
36,9,"3.0x","LB_cohort",5,0.854961589955696,0.971619065857254,1,1,0,1.41405168595374,5.33561550334361e-10,0.8055,12
48,16,"4.0x","YFB_base",1,0.799384559415936,0.977450138980614,1,1,0.75,0.177044536606459,0.00351169267395535,0.832990750256937,28
48,16,"4.0x","YFB_cohort",1,0.845011450450876,0.984989061170108,1,1,0.5,0.146836583750513,0.00223436236311451,0.836073997944502,26
48,16,"4.0x","LB_base",1,0.769085247032543,0.975294831478087,1,1,0.25,1.50675500872056,0.0278922813082721,0.829393627954779,9
48,16,"4.0x","LB_cohort",1,0.383021981091326,0.964997425919288,0.833333333333333,1,0,0.168825448151149,6.3330338426266e-09,0.506166495375128,72
48,16,"4.0x","YFB_base",2,0.779126346717355,0.967433774680134,1,1,0.25,0.123021078776997,0.00180453961272051,0.846619576185671,14
48,16,"4.0x","YFB_cohort",2,0.84973215674591,0.97910851498005,1,1,0.25,0.0677946275806564,0.000274988043057128,0.803733602421796,11
48,16,"4.0x","LB_base",2,0.372132060944385,0.964672485277437,1,0.5,0.25,0.174629826757484,0.00671830672977166,0.572149344096872,15
48,16,"4.0x","LB_cohort",2,0.847267683557061,0.978563575061651,1,1,0,1.21484595899273,2.8034768040745e-09,0.842078708375378,11
48,16,"4.0x","YFB_base",3,0.749202160903939,0.97291230204694,1,1,0.25,0.137912444809023,0.000616890163717474,0.740408570004983,18
48,16,"4.0x","YFB_cohort",3,0.811388251796628,0.979788399654727,1,1,0.5,0.134641022767729,0.00432277580787709,0.756352765321375,25
48,16,"4.0x","LB_base",3,0.6083850416473,0.970416650053544,0.833333333333333,1,0,0.529822822855746,1.37154316106444e-08,0.725460886895865,13
48,16,"4.0x","LB_cohort",3,0.475392793266012,0.96290939849738,0.833333333333333,0.5,0,0.256503533678231,3.78359389377586e-09,0.61136023916293,31
48,16,"4.0x","YFB_base",4,0.755530137618743,0.973636701991785,1,1,0.5,0.150341764981293,0.00459930594347266,0.81952211489578,15
48,16,"4.0x","YFB_cohort",4,0.801659514886529,0.982055298276964,1,1,0.75,0.165488337244972,0.00620813746652457,0.825114387391968,30
48,16,"4.0x","LB_base",4,0.34005520215399,0.970939830622669,1,0.5,0,0.276084465250691,4.46488677959389e-09,0.531774275546518,27
48,16,"4.0x","LB_cohort",4,0.341890560944879,0.980364601353672,1,0.5,0,0.215689630018758,3.3712119397719e-09,0.508896797153025,32
48,16,"4.0x","YFB_base",5,0.812628493790318,0.97140329073684,1,1,0.5,0.179580560565894,0.00407042015713277,0.815,18
48,16,"4.0x","YFB_cohort",5,0.858385374087243,0.97868122349574,1,1,0.25,0.200361632982828,0.00441998078617051,0.8165,38
48,16,"4.0x","LB_base",5,0.77535721455966,0.968473885141669,1,1,0,1.70584398405879,1.83377427552281e-09,0.803,14
48,16,"4.0x","LB_cohort",5,0.83839672235372,0.977010476080898,1,1,0,1.44421890525019,1.25470539577578e-09,0.8005,31
